AWS Account,Account Number,Login URL
ccmi-att-lab,2.53252E+11,https://signin.aws.amazon.com/switchrole?account=ccmi-att-lab&roleName=ccmi-att-lab_admin
ccmi-mx-c2c,4.00723E+11,https://signin.aws.amazon.com/switchrole?account=ccmi-mx-c2c&roleName=ccmi-mx-c2c_admin
ccmi-mx-prod,8.8922E+11,https://signin.aws.amazon.com/switchrole?account=ccmi-mx-prod&roleName=ccmi-mx-prod_admin
ccmi-mx-stg,6.97814E+11,https://signin.aws.amazon.com/switchrole?account=ccmi-mx-stg&roleName=ccmi-mx-stg_admin
ccmi-pac-lab,7.42215E+11,https://signin.aws.amazon.com/switchrole?account=ccmi-pac-lab&roleName=ccmi-pac-lab_admin
ccmi-sprint-lab,7.71502E+11,https://signin.aws.amazon.com/switchrole?account=ccmi-sprint-lab&roleName=ccmi-sprint-lab_admin
ccmi-tmo-lab,6.91848E+11,https://signin.aws.amazon.com/switchrole?account=ccmi-tmo-lab&roleName=ccmi-sprint-lab_admin
ccmi-verizon-lab,46480487130,https://signin.aws.amazon.com/switchrole?account=ccmi-verizon-lab&roleName=ccmi-verizon-lab_admin
core-mx-lab,3.116E+11,https://signin.aws.amazon.com/switchrole?account=core-mx-lab-lab&roleName=core-mx-lab_admin
france-cloud-lab,6.96722E+11,https://signin.aws.amazon.com/switchrole?account=france-cloud-lab&roleName=france-cloud-lab_admin
mmp-kube-dev,4.24547E+11,https://signin.aws.amazon.com/switchrole?account=mmp-kube-dev&roleName=mmp-kube-dev_admin
ncs-maap-lab2,9.1585E+11,https://signin.aws.amazon.com/switchrole?account=ncs-maap-lab2&roleName=ncs-maap-lab2_admin
ncs-maap-lab,6.30333E+11,https://signin.aws.amazon.com/switchrole?account=ncs-maap-lab&roleName=ncs-maap-lab_admin
scv-sandbox,62541756289,https://signin.aws.amazon.com/switchrole?account=scv-sandbox&roleName=scv-sandbox_admin
tmo-mx-dev,7.94082E+11,https://signin.aws.amazon.com/switchrole?account=tmo-mx-dev&roleName=tmo-mx-dev_admin
tmo-mx-prod,6.29891E+11,https://signin.aws.amazon.com/switchrole?account=tmo-mx-prod&roleName=tmo-mx-prod_admin
tmo-mx-stg,4103171578,https://signin.aws.amazon.com/switchrole?account=tmo-mx-stg&roleName=tmo-mx-stg_admin
jf-master-acct-pd,5.65242E+11,
